descrip1art,codbarras,principio_activo,concentracion,forma_farmaceutica,blister,origen,generico,fabricante,cantidad_presentacion,usuario,status,usuario_root,status2,PA_Alter_FF,PA_Alter_CON,LastUpdated,timestamp2,timestamp1,principio_activo_Des,concentracion_Des,forma_farmaceutica_Des,origen_Des,fabricante_Des,principio_activo_Score,concentracion_Score,forma_farmaceutica_Score,blister_Score,origen_Score,generico_Score,fabricante_Score,cantidad_presentacion_Score,Score_Final,blister_Des,generico_Des,cantidad_presentacion_Des,patrocinador,patrocinador_Des,patrocinador_Score,origen_dato,codigo_atc,indicaciones,contraindicaciones,almacenamiento,requiere_recipe,marca,marca_Des,marca_Score,contenido_neto,contenido_neto_Des,contenido_neto_Score,codigo_atc_Des,codigo_atc_Score,requiere_recipe_Des,requiere_recipe_Score,segmento_etario,segmento_etario_Des,segmento_etario_Score,es_medicamento,es_medicamento_Score,url_imagen,clasificacion_insumo_Des,elasticidad_demanda,elasticidad_demanda_Des
"Catéter intravenoso Jelco Veincare 20G, caja de 50 unidades.",0000000016940,,,,,,,,50,,,,,,,2026-06-19 16:27:42.166666,,,,,,,,,,,,,,,,,,,50 unidades,,,,IA_FULL_ATTR_V1,,,,,,,Jelco Veincare,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
"Catéter intravenoso Jelco Veincare 24G, caja de 50 unidades.",0000000016964,,,,,,,,50,,,,,,,2026-06-19 16:27:42.166666,,,,,,,,,,,,,,,,,,,50 unidades,,,,IA_FULL_ATTR_V1,,,,,,,Jelco Veincare,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
DISCOLAYTE POLVO 69.7 G X 10 SOBRES,0000000030373,,,20,,,,,10,,,,,,,2026-06-19 16:27:42.166666,,,,,Polvo,,,,,,,,,,,,,,10 sobres,,,,IA_FULL_ATTR_V1,,,,,,,DISCOLAYTE,,,69.7 g,,,,,,NO_DEFINIDO,,,False,,,Suplemento Alimenticio,,
"Adhesivo de papel Pharmamed en carrete de 1.25 cm x 4.55 m, 1 unidad, Ref. 124550 Pharmaplast.",0000000040341,,,,,,,,1,,,,,,,2026-06-19 16:27:42.166666,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Pharmamed,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
Amoxicilina/Ácido Clavulánico 875 mg/125 mg x 10 tabletas,0000000072410,132,,27,,,,,10,,,,,,,2026-06-19 16:27:42.166666,,,Amoxicilina/Ácido Clavulánico,875 mg/125 mg,Tableta,,,,,,,,,,,,,,10 tabletas,,,,IA_FULL_ATTR_V1,,,,,,,,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
Sertralina 50 mg x 10 tabletas,0000000093491,967,,27,,,,,10,,,,,,,2026-06-19 16:27:42.166666,,,Sertralina,50 mg,Tableta,,,,,,,,,,,,,,10 tabletas,,,,IA_FULL_ATTR_V1,,,,,,,,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
Gel conductor para ultrasonido Aquasonic Parker de 1 litro.,0000000101295,,,47,,,,,1,,,,,,,2026-06-19 16:27:42.166666,,,,,Gel,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Aquasonic Parker,,,1 litro,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
Gel conductor para ultrasonido Aquasonic Parker de 0.25 litros.,0000000101301,,,47,,,,,1,,,,,,,2026-06-19 16:27:42.166666,,,,,Gel,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Aquasonic Parker,,,0.25 litros,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
Diosmina 450 mg y Hesperidina 50 mg en 10 tabletas de Drotafarma.,0000000104098,422,,27,,,,,10,,,,,,,2026-06-19 16:27:42.166666,,,Diosmina + Hesperidina,450 mg y 50 mg,Tableta,,,,,,,,,,,,,,10 tabletas,,,,IA_FULL_ATTR_V1,,,,,,,Drotafarma,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
Vancomicina 1 g polvo para solución inyectable I.V. x 10 ampollas,0000000107839,1064,,20,,,,,10,,,,,,,2026-06-19 16:27:42.166666,,,Vancomicina,1 g,Polvo para solución inyectable,,,,,,,,,,,,,,10 ampollas,,,,IA_FULL_ATTR_V1,,,,,,,,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
"Sales de rehidratación oral sabor fresa en sobres de 21.5g, caja con 10 unidades.",0000000154697,,,112,,,,,10,,,,,,,2026-06-19 16:27:42.166666,,,Sales de rehidratación oral,,Sobre,,,,,,,,,,,,,,10 sobres,,,,IA_FULL_ATTR_V1,,,,,,,,,,21.5g,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
Metronidazol 500 mg x 10 tabletas,0000000163750,758,,27,,,,,10,,,,,,,2026-06-19 16:27:42.170000,,,Metronidazol,500 mg,Tableta,,,,,,,,,,,,,,10 tabletas,,,,IA_FULL_ATTR_V1,,,,,,,,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
Oxacilina 1g polvo para solución inyectable (IM/IV) x 10 viales Zakimed,0000000163774,822,,20,,,,,10,,,,,,,2026-06-19 16:27:42.166666,,,Oxacilina,1g,Polvo para solución inyectable,,,,,,,,,,,,,,10 viales,,,,IA_FULL_ATTR_V1,,,,,,,Zakimed,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
"Papel para impresora de video de alta densidad, 110 mm x 18 m, 1 rollo, Durico.",0000000165389,,,,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,,,Rollo,,,,,,,,,,,,,,1 rollo,,,,IA_FULL_ATTR_V1,,,,,,,Durico,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
"Medipatch Tiras Nasales, 30 unidades",0000000170659,,,,,,,,30,,,,,,,2026-06-19 16:27:42.170000,,,,,Tira,,,,,,,,,,,,,,30 unidades,,,,IA_FULL_ATTR_V1,,,,,,,Medipatch,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
Apósito Tegaderm + Pad 9 cm x 10 cm x 1 unidad 3M,0000000175579,,,,,,,,1,,,,,,,2026-06-19 16:27:42.166666,,,,,Apósito,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,3M,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
Prueba de embarazo Bensamedic x 1 unidad,0000000179089,,,,,,,,1,,,,,,,2026-06-19 16:27:42.166666,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Bensamedic,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
Hidrolit 21.5g x 10 sobres sabor coco,0000000180528,,,112,,,,,10,,,,,,,2026-06-19 16:27:42.170000,,,,,Sobre,,,,,,,,,,,,,,10 sobres,,,,IA_FULL_ATTR_V1,,,,,,,Hidrolit,,,21.5g,,,,,,NO_DEFINIDO,,,False,,,Suplemento Alimenticio,,
Isospray Plus 0.15%-0.25% solución tópica 120ml,0000000184885,,,79,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,,0.15%-0.25%,Solución tópica,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Isospray Plus,,,120ml,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
"Pistola de masaje mini Vitalmed de 6 velocidades, colores surtidos.",0000000188005,,,,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Vitalmed,,,,,,,,,NO_DEFINIDO,,,False,,,Equipo Médico,,
"Media de compresión 15-20 mmHg, talla S/M, beige/blanco, con cierre, sin puntera.",0000000189323,,,,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,,15-20 mmHg,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
Lidocaína 5% crema 30g Medpharma,0000000193009,,,62,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,Lidocaína,5%,Crema,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Medpharma,,,30g,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
"Adhesivo non-woven color piel en carrete de 2.5 cm x 5 m, 1 unidad.",0000000193931,,,,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
"Adhesivo no tejido color piel en carrete de 1,25 cm x 5 m, 1 unidad Zuviss",0000000193948,,,,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Zuviss,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
Losartán Potásico 100 mg x 30 comprimidos,0000000195911,2303,,88,,,,,30,,,,,,,2026-06-19 16:27:42.170000,,,Losartán Potásico,100 mg,Comprimido,,,,,,,,,,,,,,30 comprimidos,,,,IA_FULL_ATTR_V1,,,,,,,,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
"Recolector de orina adulto, vaso de 50 ml, caja de 100 unidades Plusmedic",0000000200370,,,,,,,,100,,,,,,,2026-06-19 16:27:42.170000,,,,,Vaso,,,,,,,,,,,,,,100 unidades,,,,IA_FULL_ATTR_V1,,,,,,,Plusmedic,,,50 ml,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
"Kit de manómetro para presión venosa central con llave de 3 vías, 1 unidad, Ref. GS-3008",0000000200738,,,,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,,,,,,,,,,NO_DEFINIDO,,,False,,,Equipo Médico,,
Probiolitos 1g x 10 sobres sabor fresa Biofarco,0000000201438,,,112,,,,,10,,,,,,,2026-06-19 16:27:42.170000,,,Probióticos,1g,Sobre,,,,,,,,,,,,,,10 sobres,,,,IA_FULL_ATTR_V1,,,,,,,Biofarco,,,,,,,,,NO_DEFINIDO,,,False,,,Suplemento Alimenticio,,
Metotrexato 50 mg/2 ml solución inyectable (IV/IM) en ampolla.,0000000201629,2338,,80,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,Metotrexato,50 mg/2 ml,Solución inyectable,,,,,,,,,,,,,,1 ampolla,,,,IA_FULL_ATTR_V1,,,,,,,,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
Colgate Plax Enjuague Bucal Control del Mal Aliento 500ml,0000000202770,,,,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,,,Solución,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Colgate Plax,,,500ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
"Gorro quirúrgico de tela SMS 40g, caja de 100 unidades KD Medical",0000000203319,,,,,,,,100,,,,,,,2026-06-19 16:27:42.170000,,,,,,,,,,,,,,,,,,,100 unidades,,,,IA_FULL_ATTR_V1,,,,,,,KD Medical,,,,,,,,,NO_DEFINIDO,,,False,,,Descartable,,
"Gorro de enfermera de tela SMS 40g, caja de 100 unidades, KD Medical",0000000203326,,,,,,,,100,,,,,,,2026-06-19 16:27:42.170000,,,,,,,,,,,,,,,,,,,100 unidades,,,,IA_FULL_ATTR_V1,,,,,,,KD Medical,,,,,,,,,NO_DEFINIDO,,,False,,,Descartable,,
"Sábana de camilla SMS 40 g, 1 unidad, KD Medical",0000000205573,,,,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,KD Medical,,,,,,,,,NO_DEFINIDO,,,False,,,Descartable,,
"Catéter de succión cerrado #12 x 1 unidad, Prontomedica.",0000000205580,,,,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Prontomedica,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
"Catéter de succión cerrado #16, 1 unidad, Prontomedica.",0000000205603,,,,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Prontomedica,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
Repuesto de bastón de 4 puntas Vitalmed,0000000205634,,,,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Vitalmed,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
Rollo de algodón de 125g Full Time,0000000206747,,,,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,,,Rollo,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Full Time,,,125g,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
"Gemcitabina 1 g polvo para solución inyectable, 1 ampolla",0000000206815,541,,20,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,Gemcitabina,1 g,Polvo para solución inyectable,,,,,,,,,,,,,,1 ampolla,,,,IA_FULL_ATTR_V1,,,,,,,,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
Cotonoides quirúrgicos DeRoyal 30-056 de 1/2 x 1 1/2 pulgadas,0000000300568,,,,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,DeRoyal,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
"Cotonoides quirúrgicos DeRoyal 3/4 x 3/4, ref. 30-058",0000000300582,,,,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,DeRoyal,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
Cotonoides quirúrgicos DeRoyal 1x1 REF 30-059,0000000300599,,,,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,DeRoyal,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
Jarabe de Passiflora Plus de 180 ml de Farmagenik.,0000001100181,,,15,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,Passiflora,,Jarabe,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Farmagenik,,,180 ml,,,,,,NO_DEFINIDO,,,False,,,Suplemento Alimenticio,,
Senolax Jarabe 120 ml Farmagenik,0000001100198,,,15,,,,,1,,,,,,,2026-06-19 16:27:42.173333,,,,,Jarabe,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Farmagenik,,,120 ml,,,,,,NO_DEFINIDO,,,False,,,Suplemento Alimenticio,,
AMOXICILINA / ACID CLAVU 875+125 MG X 10,0000006,132,1133,101,True,6,False,1126,10,,True,,,"JARABE(15), POLVO (20), TAB(27)","1 G(136), 1 G/500 MG(148), 10 MG/250 MG(232), 125 MG(330), 200 UI/250 MG(488), 250 MG(511), 500 MG(775), 750 MG(907), 875 MG(946)",,,,Amoxicilina / Ácido Clavulánico,875 mg + 125 mg,Tableta,null,null,,,,1.0,0.9,1.0,1.0,1.0,,0,0,10 tabletas,,,,IA_FULL_ATTR_V1,,,,,,Remeny,,1.0,11,,,J01CR02,,True,,NO_DEFINIDO,ADULTOS,,True,,null,Medicamento,1.0,MUY BAJA
"Esponja de gasa estéril 2x2, 50 sobres con 2 esponjas cada uno, marca Algobap.",0000007601149,,,112,,,,,50,,,,,,,2026-06-19 16:27:42.170000,,,,,Esponja,,,,,,,,,,,,,,50 sobres,,,,IA_FULL_ATTR_V1,,,,,,,Algobap,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
Sal de frutas efervescente sabor naranja en sobres.,0000007603815,,,,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,Sal de frutas,,Sobre,,,,,,,,,,,,,,1 sobre,,,,IA_FULL_ATTR_V1,,,,,,,,,,,,,,,,NO_DEFINIDO,,,False,,,Suplemento Alimenticio,,
Tensiómetro digital de brazo Skymedical SK-TV01/SK-TA01,0000011122234,,,,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Skymedical,,,,,,,,,NO_DEFINIDO,,,False,,,Equipo Médico,,
Tensiómetro digital de brazo SkyMedical SK-N01 negro,0000012547852,,,,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,SkyMedical,,,,,,,,,NO_DEFINIDO,,,False,,,Equipo Médico,,
Nebulizador SkyMedical AXD-302 para adultos y niños,0000014253683,,,,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,SkyMedical,,,,,,,,,NO_DEFINIDO,,,False,,,Equipo Médico,,
Contenedor redondo amarillo de 10 litros Medaid,0000020000134,,,,,,,,1,,,,,,,2026-06-19 16:27:42.173333,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Medaid,,,10 litros,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
KOLNASI 500 mg 30 comprimidos SNC PHARMA,0000020000219,,,88,,,,,30,,,,,,,2026-06-19 16:27:42.173333,,,,500 mg,Comprimido,,,,,,,,,,,,,,30 comprimidos,,,,IA_FULL_ATTR_V1,,,,,,,SNC PHARMA,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
Nifedipino LP 20 mg x 30 tabletas Lattan Medic,0000020000264,,,27,,,,,30,,,,,,,2026-06-19 16:27:42.173333,,,Nifedipino,20 mg,Tableta,,,,,,,,,,,,,,30 tabletas,,,,IA_FULL_ATTR_V1,,,,,,,Lattan Medic,,,,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
LEVOFLOXACINA 500MG/100ML I.V.,0000023,684,1067,139,False,,False,1126,1,,True,,,"INYECTA(14), TAB(27)","250 MG(511), 500 MG(775), 750 MG(907)",,,,Levofloxacina,500 mg/100 ml,Inyectable,,No especificado,,,,1.0,1.0,1.0,1.0,1.0,,0,1,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,IPS,,1.0,12,100ml,,,,True,,NO_DEFINIDO,,,True,,,Medicamento,1.0,MUY BAJA
Jarabe de berro Farmagenik 120 ml,0000025525748,,,15,,,,,1,,,,,,,2026-06-19 16:27:42.173333,,,Berro,,Jarabe,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Farmagenik,,,120 ml,,,,,,NO_DEFINIDO,,,False,,,Suplemento Alimenticio,,
Jarabe de achicoria Farmagenik 120 ml,0000025525755,,,15,,,,,1,,,,,,,2026-06-19 16:27:42.170000,,,Achicoria,,Jarabe,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Farmagenik,,,120 ml,,,,,,NO_DEFINIDO,,,False,,,Suplemento Alimenticio,,
Jarabe Lamedor 120 ml Farmagenik,0000025525762,,,15,,,,,1,,,,,,,2026-06-19 16:27:42.173333,,,,,Jarabe,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Farmagenik,,,120 ml,,,,,,NO_DEFINIDO,,,False,,,Suplemento Alimenticio,,
Alcohol absoluto extrafino Farmagenik 250 ml,0000025525779,,,,,,,,1,,,,,,,2026-06-19 16:27:42.173333,,,Alcohol,,Solución,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Farmagenik,,,250 ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Citrato de Potasio 10.8% 1L Farmagenik,0000025526479,306,,,,,,,1,,,,,,,2026-06-19 16:27:42.173333,,,Citrato de Potasio,10.8%,Solución,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Farmagenik,,,1L,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
METFORMINA1GR/SITAGLIPTINA 50MG X30 TABL,00000291,742,1166,101,True,,False,1126,30,,True,,,,,2025-04-26 20:30:00.946666,,,Metformina / Sitagliptina,1 gr / 50 mg,Tableta,USA,No especificado,,,,1.0,1.0,1.0,1.0,1.0,,0,0,30 tabletas,,,,IA_FULL_ATTR_V1,,,,,True,Sitamet,,1.0,46,,,,,True,,ADULTO,ADULTO,,True,,,Medicamento,1.0,MUY BAJA
"Media de compresión graduada antitrombo para muslo, talla P (Dynaven)",00000381536227158N073,,,,,,,,1,,,,,,,2026-06-19 16:27:42.173333,,,,,,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Dynaven,,,,,,,,,NO_DEFINIDO,,,False,,,Material Médico,,
NIVEA Crema de Manos 3 en 1 Antibacterial Cuidado y Protección 75 ml,0000042419860,,,62,,,,,1,,,,,,,2026-06-19 16:27:42.173333,,,,,Crema,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,NIVEA,,,75 ml,,,,,,NO_DEFINIDO,,,False,,,Cosmético,,
Heparina 250 UI/g gel 30g,00000451,,,47,,,,,1,,,,,,,2026-06-19 16:27:42.173333,,,Heparina,250 UI/g,Gel,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,,,,30g,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
Rexona V8 Men Antitranspirante en barra 50g,0000075024956,,,,,,,,1,,,,,,,2026-06-19 16:27:42.173333,,,,,Barra,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Rexona,,,50g,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Desodorante Rexona Men Antibacterial Invisible roll-on 50 ml,0000075058852,,,147,,,,,1,,,,,,,2026-06-19 16:27:42.173333,,,,,Roll-on,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Rexona,,,50 ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Desodorante en barra Rexona Tono Perfecto 72 horas 45g,0000075062798,,,,,,,,1,,,,,,,2026-06-19 16:27:42.173333,,,,,Barra,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Rexona,,,45g,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
Rexona Tono Perfecto antitranspirante roll-on 48 horas 50 ml,0000075062804,,,147,,,,,1,,,,,,,2026-06-19 16:27:42.173333,,,,,Roll-on,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Rexona,,,50 ml,,,,,,NO_DEFINIDO,,,False,,,Higiene Personal,,
"Crema Sulfurcis con azufre 10%, ivermectina 1% y vitaminas A, D, E en presentación de 40g.",0000075970543,651,,62,,,,,1,,,,,,,2026-06-19 16:27:42.173333,,,"Azufre + Ivermectina + Vitaminas A, D, E","Azufre 10%, Ivermectina 1%",Crema,,,,,,,,,,,,,,1 unidad,,,,IA_FULL_ATTR_V1,,,,,,,Sulfurcis,,,40g,,,,,,NO_DEFINIDO,,,True,,,Medicamento,,
